word,count
là,2401
thì,1760
có,1584
và,1547
mưa,1255
mươi,1126
ngày,1118
độ,1087
sẽ,1035
ba,951
đến,803
ở,761
hai,633
mai,626
nắng,597
nhiệt,585
cũng,575
ạ,551
không,544
các,541
mà,529
như,525
những,505
thời,493
từ,487
chúng,465
này,461
cho,460
ta,460
khu,427
vực,406
vị,401
với,398
dông,386
một,386
quý,385
cái,382
bạn,380
bộ,377
trong,368
tiết,367
nóng,358
còn,340
đêm,330
tại,303
bắc,303
thể,303
chiều,299
rất,288
ờ,270
nhá,268
nhiều,268
cao,264
tối,261
của,257
hà,242
khán,241
giả,238
vào,237
nam,229
ra,228
mức,224
về,222
nhất,221
rào,219
đó,212
lúc,211
tư,210
trời,206
miền,205
vẫn,204
bảy,202
để,198
đi,197
sáu,196
nơi,195
nên,193
lăm,193
giờ,187
tin,186
thế,185
người,183
ý,181
trung,181
thành,180
nay,177
hiện,177
lại,175
khoảng,165
rồi,164
hơn,163
chào,161
phải,160
xin,160
nguyên,152
tây,152
vừa,149
mọi,146
bình,145
nội,145
báo,144
khi,141
được,141
sáng,139
đã,136
khá,133
to,131
dự,130
thông,130
thứ,129
phòng,128
hay,127
đây,126
điểm,126
cả,125
thôi,125
nó,124
vì,124
chỉ,121
lưu,120
phố,120
cần,119
mười,118
vâng,117
đang,116
nhưng,116
trên,115
tám,114
thanh,114
sơn,113
xuất,113
nào,112
hỏi,108
vậy,107
vùng,107
mạnh,105
giang,104
hải,102
đầu,102
nước,101
cảm,101
năng,99
sau,99
khả,98
an,98
nữa,97
ninh,96
nguy,96
theo,95
chủ,94
đô,92
lên,92
sét,92
mốt,91
dễ,91
hãy,91
gian,90
biển,89
tới,88
ngoài,87
mình,87
động,85
đấy,84
buổi,81
đối,79
chí,79
số,79
xảy,78
hôm,78
minh,76
bị,76
thủ,76
bản,76
thấy,75
tuần,74
à,74
cơ,73
trưa,72
chú,72
tiếp,72
chuyển,72
khác,71
chịu,70
thái,70
cơn,70
trở,70
tuy,70
tỉnh,69
ban,68
hòa,68
nếu,68
giảm,68
núi,67
tình,67
hóa,67
bởi,66
quá,66
đà,66
nhật,66
gió,65
vê,64
đất,63
bảo,62
lai,62
thấp,62
chín,61
phía,61
nhiên,60
mới,60
sớm,60
quảng,59
lượng,58
đúng,58
hiểm,58
làm,58
đồng,57
đề,57
tượng,57
việc,56
mét,56
bên,56
huế,56
bằng,56
gây,56
cùng,55
nguyễn,55
toàn,54
năm,54
bắt,54
anh,54
đều,53
mi,53
mát,53
hết,53
tránh,53
xem,53
phú,52
bây,52
đâu,52
lạng,52
trạng,52
chung,52
con,51
thật,51
hồ,50
dụng,50
li,50
lịch,49
bốn,49
nói,49
ngập,49
nẵng,48
bất,48
chống,48
la,48
nha,47
phần,47
đông,47
quan,47
rộng,47
di,46
giật,46
diện,46
yên,46
câu,46
áo,46
cuối,45
cục,44
du,44
lốc,43
châu,43
kèm,43
lớn,43
hình,43
định,42
biệt,42
gia,42
cai,42
xuống,41
ừ,41
kéo,41
cấp,40
giác,40
do,39
đường,39
thuận,39
trước,39
hạ,39
gặp,39
oi,39
lào,39
úng,39
khí,39
cảnh,38
thường,38
loại,38
hợp,38
ơn,38
đặc,38
yếu,37
hạn,37
hoạt,37
tục,37
cập,37
trang,36
sự,36
sẻ,35
chút,35
ô,35
lẽ,35
chia,34
thị,34
biến,34
khó,34
linh,34
dài,34
sấm,34
tốt,33
ít,33
giải,33
nhà,33
long,33
thậm,33
dần,33
đáng,33
dao,33
ngay,32
chưa,32
chợt,32
tâm,32
gắt,31
thực,31
luôn,31
hầu,31
điện,31
vui,31
trăm,31
tăng,30
ơi,30
tùng,30
tạnh,30
hoặc,30
hướng,29
phổ,29
chế,29
tê,29
dạ,29
lở,29
hội,29
phan,29
sạt,29
đảo,29
nghệ,29
tức,29
đánh,28
cụ,28
tập,28
đoạn,28
ma,28
dụ,28
lời,27
thân,27
ảnh,27
điều,27
hơi,27
quốc,27
sức,27
kế,27
biết,27
mang,27
trình,27
sang,27
quang,27
sử,26
phút,26
diễn,26
kem,26
hưởng,26
lan,26
vài,26
muốn,25
gay,25
quy,25
nhớ,25
bà,25
giữa,25
chơi,25
tương,25
hoạch,25
uống,24
tất,24
gián,24
vật,24
tham,24
tuyên,24
mất,24
kiểu,24
ví,24
quét,23
dịu,23
lợi,23
mẻ,23
đạo,23
qua,23
cạnh,23
sao,23
xu,23
xe,23
nhanh,23
dương,23
giáo,23
tiên,22
thọ,22
tôi,22
mây,22
lũ,22
hoàng,22
hoàn,22
cứ,22
dưới,22
chi,22
ráo,22
mặc,21
vi,21
thiết,21
vệ,21
bật,21
đừng,21
chính,21
so,21
bao,21
em,21
trũng,21
trả,21
biên,21
nhận,21
phủ,20
chắc,20
bão,20
hẳn,20
lạt,20
lý,20
ấy,20
rằng,20
ai,20
sắp,19
kim,19
say,19
đắc,19
chọn,19
từng,19
vọng,19
thêm,19
bổ,19
gần,19
tĩnh,19
lây,19
nhìn,19
tự,18
cố,18
xuân,18
đan,18
cháy,18
hy,18
lộc,18
xen,18
tác,18
thu,18
vân,18
nông,17
cu,17
ven,17
đồ,17
giúp,17
gửi,17
kết,17
thơ,17
cà,17
lâm,17
cực,17
vinh,17
tay,17
tiêu,17
đủ,17
sa,16
sung,16
thiên,16
kênh,16
văn,16
tìm,16
rác,16
hẹn,16
tố,16
chúc,16
riêng,15
ăn,15
rừng,15
da,15
bức,15
đáp,15
mặt,15
quên,15
nhơn,15
tính,15
mau,15
cây,15
đợt,15
đình,15
nhỏ,15
tum,15
chị,15
lâu,14
trim,14
ngãi,14
khỏe,14
buôn,14
thuột,14
phúc,14
phù,14
pa,14
khắp,14
xuyên,14
quay,14
kê,14
ẩm,14
sầm,14
gì,14
hiệu,14
luận,14
cách,14
tiếng,14
khỏi,13
mùa,13
lần,13
khiến,13
men,13
ngưỡng,13
dù,13
rõ,13
bước,13
giao,13
mấy,13
phạm,13
chạm,13
nghĩa,13
nghe,13
hại,13
cường,13
bái,13
mến,13
trọng,13
liệu,13
vẻ,13
vũ,13
liên,13
bôi,13
lựa,13
thích,12
tế,12
nắm,12
trú,12
chắn,12
che,12
tầm,12
nhắc,12
mắt,12
trần,12
tháp,12
vĩnh,12
chứ,12
duy,12
nhau,12
tháng,12
gắng,12
rải,12
mỗi,12
thoa,12
lê,11
dùng,11
địa,11
đẹp,11
muộn,11
xong,11
khô,11
bán,11
thay,11
mắc,11
hới,11
phát,11
đưa,11
cánh,11
máy,11
tàu,11
giữ,11
dẫn,11
tiến,10
đức,10
hồng,10
mong,10
vũng,10
lửa,10
giá,10
mộc,10
nhân,10
kể,10
cô,10
liền,10
lắm,10
trường,10
chờ,10
chất,10
chim,10
đội,10
ứng,10
tia,10
cạn,10
thoải,9
tắm,9
á,9
pháp,9
dịp,9
triển,9
kiên,9
khánh,9
thúc,9
gốc,9
dõi,9
truyền,9
hữu,9
chuẩn,9
dành,9
vòng,9
u,9
ngại,9
sinh,9
bớt,9
sát,9
dâu,9
vượt,9
mái,9
đón,8
hè,8
xếp,8
đôi,8
búc,8
vải,8
kia,8
ích,8
việt,8
ti,8
đặt,8
cộng,8
sim,8
thảo,8
chẳng,8
cung,8
đổi,8
đỗ,8
đa,8
trải,8
bác,8
mũ,8
com,8
chiếc,8
thương,8
phương,8
gọi,8
tạm,8
vịnh,8
dân,8
bãi,8
càng,8
huyền,8
hành,8
thuộc,8
tên,7
bè,7
khoáng,7
ưu,7
khung,7
cửa,7
nổi,7
đỡ,7
sân,7
kính,7
hoa,7
diệt,7
sốt,7
xa,7
trì,7
sông,7
phây,7
đầy,7
nãy,7
dứt,7
quỳnh,7
rau,7
phép,7
hửng,7
hưng,7
huyện,7
liêu,7
tiện,7
tắt,7
khách,7
nghỉ,7
gồm,7
đổ,7
kỳ,6
xấu,6
hông,6
nhờ,6
côn,6
cháu,6
quanh,6
học,6
lò,6
ấm,6
huống,6
sống,6
lượt,6
xanh,6
huy,6
thiệt,6
hạnh,6
